company,valuation,date_joined,year_joined,industry,city,country,continent,year_founded,funding,select_investors
Genki Forest,15000000000,01/03/2020,2020,Consumer & retail,Beijing,China,Asia,2016,721000000,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,15000000000,08/10/2020,2020,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,3000000000,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,14000000000,17/02/2021,2021,Fintech,London,United Kingdom,Europe,2011,490000000,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,13000000000,11/12/2018,2018,Fintech,San Francisco,United States,North America,2012,734000000,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,13000000000,16/10/2018,2018,Health,Waltham,United States,North America,2017,2000000000,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,13000000000,20/07/2021,2021,E-commerce & direct-to-consumer,New York,United States,North America,2017,427000000,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,13000000000,10/10/2019,2019,Internet software & services,San Francisco,United States,North America,2009,400000000,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,12000000000,12/07/2019,2019,Artificial intelligence,Pittsburgh,United States,North America,2016,4000000000,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,12000000000,12/06/2019,2019,Other,Stockholm,Sweden,Europe,2016,4000000000,"Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,12000000000,30/10/2019,2019,Artificial intelligence,San Francisco,United States,North America,2017,1000000000,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,12000000000,15/11/2018,2018,Internet software & services,San Francisco,United States,North America,2013,1000000000,"Caffeinated Capital, CRV, Founder Collective"
Brex,12000000000,05/10/2018,2018,Fintech,San Francisco,United States,North America,2017,1000000000,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,12000000000,26/03/2021,2021,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,2000000000,"Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,12000000000,06/08/2018,2018,Health,San Diego,United States,North America,2008,799000000,"Vickers Venture Partners, IKEA GreenTech"
Bitmain,12000000000,06/07/2018,2018,Hardware,Beijing,China,Asia,2015,765000000,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,12000000000,13/10/2021,2021,Internet software & services,Roseville,United States,North America,2003,800000000,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,12000000000,22/07/2020,2020,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,5000000000,"KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,11000000000,03/06/2021,2021,Auto & transportation,Shanghai,China,Asia,2013,376000000,"LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,11000000000,29/05/2018,2018,Auto & transportation,Tallinn,Estonia,Europe,2013,1000000000,"Didi Chuxing, Diamler, TMT Investments"
Swiggy,11000000000,21/06/2018,2018,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,5000000000,"Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,11000000000,08/05/2021,2021,Consumer & retail,Luohe,China,Asia,1999,558000000,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,11000000000,22/12/2016,2016,Hardware,London,United Kingdom,Europe,1998,5000000000,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,11000000000,08/10/2021,2021,Fintech,San Francisco,United States,North America,2014,1000000000,"Activant Capital, Tribe Capital, General Atlantic"
Celonis,11000000000,26/06/2018,2018,Data management & analytics,Munich,Germany,Europe,2011,1000000000,"Accel, 83North"
Zuoyebang,10000000000,18/07/2018,2018,Edtech,Beijing,China,Asia,2014,3000000000,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,10000000000,20/12/2019,2019,Fintech,San Francisco,United States,North America,2012,294000000,"IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,10000000000,25/09/2018,2018,Travel,Gurugram,India,Asia,2012,3000000000,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,10000000000,05/06/2018,2018,Internet software & services,Boston,United States,North America,2001,572000000,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,10000000000,14/11/2018,2018,Internet software & services,Glendale,United States,North America,2012,1000000000,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,10000000000,28/10/2021,2021,Fintech,San Francisco,United States,North America,2017,564000000,"DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,10000000000,12/03/2016,2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,4000000000,"Sequoia Capital China, GX Capital"
Digital Currency Group,10000000000,01/11/2021,2021,Fintech,New York,United States,North America,2015,1000000000,"Ribbit Capital, capitalG, Softbank Group"
Figma,10000000000,30/04/2020,2020,Internet software & services,San Francisco,United States,North America,2012,333000000,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,10000000000,18/12/2015,2015,Fintech,San Francisco,United States,North America,2011,691000000,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,10000000000,21/02/2019,2019,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,2000000000,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,10000000000,01/04/2020,2020,Internet software & services,San Francisco,United States,North America,2016,343000000,"Index Ventures, Draft Ventures, Felicis Ventures"
reddit,10000000000,31/07/2017,2017,Internet software & services,San Francisco,United States,North America,2005,1000000000,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,10000000000,03/10/2018,2018,Internet software & services,San Francisco,United States,North America,2011,497000000,"DJF, Salesforce Ventures, Storm Ventures"
Thrasio,10000000000,15/07/2020,2020,Other,Walpole,United States,North America,2018,2000000000,"Upper90, RiverPark Ventures, Advent International"
Dunamu,9000000000,22/07/2021,2021,Fintech,Seoul,South Korea,Asia,2012,71000000,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,9000000000,10/06/2019,2019,Travel,Seoul,South Korea,Asia,2005,2000000000,"SBI Investment Korea, Partners Investment, GIC"
Pony.ai,9000000000,11/07/2018,2018,Artificial intelligence,Fremont,United States,North America,2016,1000000000,"Sequoia Capital China, IDG Capital, DCM Ventures"
Nuro,9000000000,11/02/2019,2019,Auto & transportation,Mountain View,United States,North America,2016,2000000000,"SoftBank Group, Greylock Partners, Gaorong Capital"
Snyk,9000000000,21/01/2020,2020,Cybersecurity,Boston,United States,North America,2015,1000000000,"BOLDstart Ventures, Google Ventures, Accel"
Kavak,9000000000,01/10/2020,2020,E-commerce & direct-to-consumer,Lerma de Villada,Mexico,North America,2016,2000000000,"DST Global, SoftBank Group, Mountain Nazca"
N26,9000000000,10/01/2019,2019,Fintech,Berlin,Germany,Europe,2013,2000000000,"Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures"
Klaviyo,9000000000,17/11/2020,2020,Internet software & services,Boston,United States,North America,2012,679000000,"Summit Partners, Accel, Astral Capital"
Niantic,9000000000,24/11/2017,2017,Mobile & telecommunications,San Francisco,United States,North America,2015,770000000,"Nintendo, Google, Pokemon Company International, Spark Capital"
Tanium,9000000000,31/03/2015,2015,Cybersecurity,Kirkland,United States,North America,2007,775000000,"Andreessen Horowitz, Nor-Cal Invest, TPG Growth"
Dream11,8000000000,09/04/2019,2019,Internet software & services,Mumbai,India,Asia,2007,2000000000,"Kaalari Capital, Tencent Holdings, Steadview Capital"
DJI Innovations,8000000000,23/01/2015,2015,Hardware,Shenzhen,China,Asia,2006,105000000,"Accel Partners, Sequoia Capital"
Netskope,8000000000,13/11/2018,2018,Cybersecurity,Santa Clara,United States,North America,2012,1000000000,"Lightspeed Venture Partners, Social Capital, Accel"
Razorpay,8000000000,11/10/2020,2020,Fintech,Bengaluru,India,Asia,2013,742000000,"Sequoia Capital India, Tiger Global Management, Matrix Partners India"
Dapper Labs,8000000000,30/03/2021,2021,Fintech,Vancouver,Canada,North America,2018,607000000,"Union Square Ventures, Venrock, Andreessen Horowitz"
Lacework,8000000000,07/01/2021,2021,Cybersecurity,San Jose,United States,North America,2015,2000000000,"Sutter Hill Ventures, Liberty Global Ventures, Coatue Management"
Tipalti,8000000000,06/10/2020,2020,Fintech,San Mateo,United States,North America,2010,549000000,"01 Advisors, Zeev Ventures, Group 11"
Hopin,8000000000,10/11/2020,2020,Internet software & services,London,United Kingdom,Europe,2019,1000000000,"Accel, Northzone Ventures, Institutional Venture Partners"
Caris Life Sciences,8000000000,12/05/2021,2021,Health,Irving,United States,North America,1996,1000000000,"Sixth Street Partners, OrbiMed Advisors, Highland Capital Management"
Ramp,8000000000,29/03/2021,2021,Fintech,New York,United States,North America,2019,660000000,"D1 Capital Partners, Stripe, Coatue Management"
Tempus,8000000000,21/03/2018,2018,Health,Chicago,United States,North America,2015,820000000,"New Enterprise Associates, T. Rowe Associates, Lightbank"
Fireblocks,8000000000,27/07/2021,2021,Fintech,New York,United States,North America,2018,1000000000,"Tenaya Capital, Coatue Management, Stripes Group"
Flexport,8000000000,30/04/2018,2018,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2013,2000000000,"Bloomberg Beta, Founders Fund, First Round Capital"
National Stock Exchange of India,7000000000,01/07/2020,2020,Fintech,Mumbai,India,Asia,1998,297000000,"TA Associates, SoftBank Group, GS Growth"
Meicai,7000000000,22/06/2016,2016,Mobile & telecommunications,Beijing,China,Asia,2014,1000000000,"Tiger Global Management, Blue Lake Capital, ZhenFund"
Impossible Foods,7000000000,13/05/2019,2019,Consumer & retail,Redwood City,United States,North America,2011,2000000000,"Khosla Ventures, Horizons Ventures, Temasek Holdings"
CRED,7000000000,06/04/2021,2021,Fintech,Bengaluru,India,Asia,2018,922000000,"Tiger Global Management, DST Global, Sequoia Capital India"
Attentive,7000000000,23/09/2020,2020,Mobile & telecommunications,Hoboken,United States,North America,2016,863000000,"NextView Ventures, Eniac Ventures, Sequoia Capital"
Ola Cabs,7000000000,27/10/2014,2014,Auto & transportation,Bengaluru,India,Asia,2010,4000000000,"Accel Partners, SoftBank Group, Sequoia Capital"
Rippling,7000000000,04/08/2020,2020,Internet software & services,San Francisco,United States,North America,2017,447000000,"Initialized Capital, Y Combinator, Kleiner Perkins Caufield & Byers"
Carta,7000000000,06/05/2019,2019,Fintech,San Francisco,United States,North America,2012,1000000000,"Menlo Ventures, Spark Capital, Union Square Ventures"
Toss,7000000000,09/12/2018,2018,Fintech,Seoul,South Korea,Asia,2013,844000000,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers"
Ziroom,7000000000,17/01/2018,2018,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,2000000000,"Sequoia Capital China, Warburg Pincus, General Catalyst"
Scale AI,7000000000,05/08/2019,2019,Artificial intelligence,San Francisco,United States,North America,2018,603000000,"Accel, Y Combinator, Index Ventures"
Gong,7000000000,12/08/2020,2020,Artificial intelligence,Palo Alto,United States,North America,2015,583000000,"Norwest Venture Partners, Next World Capital, Wing Venture Capital"
TripActions,7000000000,08/11/2018,2018,Travel,Palo Alto,United States,North America,2015,912000000,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures"
1Password,7000000000,08/07/2021,2021,Cybersecurity,Toronto,Canada,North America,2005,920000000,"Slack Fund, Accel, Skip Capital"
Automation Anywhere,7000000000,02/07/2018,2018,Artificial intelligence,San Jose,United States,North America,2003,849000000,"General Atlantic, Goldman Sachs, New Enterprise Associates"
Gemini,7000000000,19/11/2021,2021,Fintech,New York,United States,North America,2015,424000000,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund"
ConsenSys,7000000000,17/11/2021,2021,Fintech,New York,United States,North America,2014,660000000,"Third Point, Electric Capital, Coinbase Ventures"
Ro,7000000000,27/07/2020,2020,Health,New York,United States,North America,2017,1000000000,"Initialized Capital, General Catalyst, SignalFire"
Black Unicorn Factory,6000000000,20/05/2021,2021,Other,Los Angeles,United States,North America,2020,645000000,Barter Ventures
Easyhome,6000000000,12/02/2018,2018,Consumer & retail,Beijing,China,Asia,1999,2000000000,"Alibaba Group, Boyu Capital, Borui Capital"
WeDoctor,6000000000,22/09/2015,2015,Health,Hangzhou,China,Asia,2010,1000000000,"Tencent, Morningside Group"
SVOLT,6000000000,08/06/2020,2020,Auto & transportation,Changzhou,China,Asia,2018,3000000000,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management"
Airwallex,6000000000,25/03/2019,2019,Fintech,Melbourne,Australia,Oceania,2015,802000000,"DST Global, Sequoia Capital China, Tencent Holdings"
Deel,6000000000,21/04/2021,2021,Fintech,San Francisco,United States,North America,2018,629000000,"Andreessen Horowitz, Spark Capital, Y Combinator"
Mambu,6000000000,06/01/2021,2021,Fintech,Amsterdam,Netherlands,Europe,2011,448000000,"Runa Capital, Acton Capital Partners, Point Nine Capital"
Mollie,6000000000,08/09/2020,2020,Fintech,Amsterdam,Netherlands,Europe,2004,928000000,Technology Crossover Ventures
Doctolib,6000000000,19/03/2019,2019,Health,Paris,France,Europe,2013,815000000,"BPI France, Kerala Ventures, Accel"
FiveTran,6000000000,30/06/2020,2020,Data management & analytics,Oakland,United States,North America,2012,728000000,"Matrix Partners, Andreessen Horowitz, General Catalyst"
Postman,6000000000,11/06/2020,2020,Internet software & services,San Francisco,United States,North America,2014,433000000,"Nexus Venture Partners, CRV, Insight Partners"
Back Market,6000000000,18/05/2021,2021,E-commerce & direct-to-consumer,Paris,France,Europe,2014,1000000000,"Aglae Ventures, Eurazeo, Daphni"
Cityblock Health,6000000000,10/12/2020,2020,Health,Brooklyn,United States,North America,2017,891000000,"Thrive Capital, Maverick Ventures, Redpoint Ventures"
DataRobot,6000000000,29/07/2019,2019,Artificial intelligence,Boston,United States,North America,2012,1000000000,"New Enterprise Associates, Accomplice, IA Ventures"
Personio,6000000000,19/01/2021,2021,Internet software & services,Munich,Germany,Europe,2015,524000000,"Global Founders Capital, Nortzone Ventures, Picus Capital"
RELEX Solutions,6000000000,17/02/2022,2022,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,803000000,"Blackstone, Technology Crossover Ventures, Summit Partners"
Vice Media,6000000000,02/04/2011,2011,Internet software & services,Brooklyn,United States,North America,1994,1000000000,"Technology Crossover Ventures, A&E Television Networks"
Workato,6000000000,12/01/2021,2021,Internet software & services,Mountain View,United States,North America,2013,415000000,"Battery Ventures, Storm Ventures, Redpoint Ventures"
Upgrade,6000000000,12/02/2018,2018,Fintech,San Francisco,United States,North America,2016,587000000,"Union Square Ventures, Ribbit Capital, VY Capital"
Lianjia,6000000000,07/04/2016,2016,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,1000000000,"Tencent, Baidu, Huasheng Capital"
Hinge Health,6000000000,06/01/2021,2021,Health,San Francisco,United States,North America,2015,826000000,"Atomico, Insight Partners, Coatue Management"
Lyra Health,6000000000,25/08/2020,2020,Health,Burlingame,United States,North America,2015,910000000,"Greylock Partners, Venrock, Providence Ventures"
Benchling,6000000000,14/04/2021,2021,Internet software & services,San Francisco,United States,North America,2012,412000000,"Thrive Capital, Benchmark, MenloVentures"
Better.com,6000000000,10/11/2020,2020,Fintech,New York,United States,North America,2018,405000000,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers"
iCapital Network,6000000000,27/07/2021,2021,Fintech,New York,United States,North America,2013,729000000,"BlackRock, Blackstone, UBS"
Wiz,6000000000,17/03/2021,2021,Cybersecurity,Tel Aviv,Israel,Asia,2020,600000000,"Insight Partners, Sequoia Capital, Index Ventures"
DailyHunt,5000000000,22/12/2020,2020,Internet software & services,Bengaluru,India,Asia,2007,869000000,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India"
Howden Group Holdings,5000000000,29/09/2020,2020,Other,London,United Kingdom,Europe,1994,187000000,"General Atlantic, 3i Group, Huagai Capital"
Meesho,5000000000,05/04/2021,2021,Internet software & services,Bengaluru,India,Asia,2015,1000000000,"Venture Highway, Sequoia Capital India, Prosus Ventures"
Meizu Technology,5000000000,23/07/2014,2014,Hardware,Zhuhai,China,Asia,2003,943000000,"Telling Telecommunication Holding Co., Alibaba Group"
CloudWalk Technology,5000000000,08/10/2018,2018,Artificial intelligence,Guangzhou,China,Asia,2015,514000000,"Oriza Holdings, Guangdong Technology Financial Group"
Royole Corporation,5000000000,18/08/2015,2015,Hardware,Shenzhen,China,Asia,2012,492000000,"Warmsun Holding, IDG Capital Partners"
Monzo,5000000000,31/10/2018,2018,Fintech,London,United Kingdom,Europe,2015,1000000000,"Passion Capital, Thrive Capital, Orange Digital Ventures"
Socure,5000000000,16/03/2021,2021,Cybersecurity,New York,United States,North America,2012,644000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
VIPKid,5000000000,04/08/2016,2016,Edtech,Beijing,China,Asia,2013,1000000000,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures"
Vinted,5000000000,27/11/2019,2019,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,562000000,"Accel, Insight Partners, Burda Principal Investments"
Lendable,5000000000,31/03/2021,2021,Fintech,London,United Kingdom,Europe,2014,286000000,"Ontario Teachers'' Pension Plan, Goldman Sachs"
UBTECH Robotics,5000000000,25/07/2016,2016,Hardware,Shenzhen,China,Asia,2012,943000000,"CDH Investments, Goldstone Investments, Qiming Venture Partners"
Anduril,5000000000,11/09/2019,2019,Artificial intelligence,Irvine,United States,North America,2017,691000000,"Andreessen Horowitz, Founders Fund, Revolution Ventures"
Checkr,5000000000,19/09/2019,2019,Internet software & services,San Francisco,United States,North America,2014,559000000,"Y Combinator, Accel, T. Rowe Price"
Color,5000000000,04/01/2021,2021,Health,Burlingame,United States,North America,2013,497000000,"General Catalyst, Viking Global Investors, T. Rowe Price"
Dataiku,5000000000,04/12/2019,2019,Internet software & services,New York,United States,North America,2013,647000000,"Alven Capital, FirstMark Capital, capitalG"
BetterUp,5000000000,25/02/2021,2021,Internet software & services,San Francisco,United States,North America,2013,567000000,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital"
Pleo,5000000000,06/07/2021,2021,Fintech,Copenhagen,Denmark,Europe,2015,428000000,"Creandum, Founders, Kinnevik"
Trade Republic,5000000000,20/05/2021,2021,Fintech,Berlin,Germany,Europe,2015,996000000,"Founders Fund, Accel, Creandum"
Chipone,5000000000,16/12/2021,2021,Hardware,Beijing,China,Asia,2008,1000000000,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment"
Collibra,5000000000,29/01/2019,2019,Data management & analytics,Brussels,Belgium,Europe,2008,596000000,"Index Ventures, Battery Ventures, ICONIQ Capital"
Rappi,5000000000,31/08/2018,2018,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,2000000000,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures"
6Sense,5000000000,30/03/2021,2021,Artificial intelligence,San Francisco,United States,North America,2013,426000000,"Venrock, Battery Ventures, Insight Partners"
Cerebral,5000000000,10/06/2021,2021,Health,San Francisco,United States,North America,2020,462000000,"Oak HC/FT Partners, Artis Ventures, WestCap Group"
Creditas,5000000000,18/12/2020,2020,Fintech,Sao Paulo,Brazil,South America,2012,824000000,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital"
OneTrust,5000000000,11/07/2019,2019,Internet software & services,Atlanta,United States,North America,2016,926000000,Insight Partners
QuintoAndar,5000000000,09/09/2019,2019,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,755000000,"Kaszek Ventures, General Atlantic, SoftBank Group"
C6 Bank,5000000000,02/12/2020,2020,Fintech,Sao Paulo,Brazil,South America,2018,2000000000,Credit Suisse
Cockroach Labs,5000000000,12/01/2021,2021,Data management & analytics,New York,United States,North America,2015,633000000,"Google Ventures, Benchmark, FirstMark Capital"
Hopper,5000000000,24/03/2021,2021,Travel,Montreal,Canada,North America,2007,599000000,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures"
Icertis,5000000000,17/07/2019,2019,Artificial intelligence,Bellevue,United States,North America,2009,371000000,"Eight Roads Ventures, Greycroft, Ignition Partners"
Moon Active,5000000000,26/01/2020,2020,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,425000000,"Insight Partners, Andalusian Capital Partners"
OfBusiness,5000000000,31/07/2021,2021,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,734000000,"Matrix Partners India, Falcon Edge Capital, SoftBank Group"
Ola Electric Mobility,5000000000,02/07/2019,2019,Auto & transportation,Bengaluru,India,Asia,2019,761000000,"SoftBank Group, Tiger Global Management, Matrix Partners India"
Pine Labs,5000000000,24/01/2020,2020,Fintech,Noida,India,Asia,1998,903000000,"Sequoia Capital India, Temasek, PayPal Ventures"
Qonto,5000000000,11/01/2022,2022,Fintech,Paris,France,Europe,2016,704000000,"Alven Capital, Valar Ventures, Tencent Holdings"
SambaNova Systems,5000000000,13/04/2021,2021,Data management & analytics,Palo Alto,United States,North America,2017,1000000000,"Walden International, Google Ventures, Intel Capital"
United Imaging Healthcare,5000000000,15/09/2017,2017,Health,Shanghai,China,Asia,2011,503000000,"China Life Insurance, China Development Bank Capital, CITIC Securities International"
WM Motor,5000000000,08/03/2019,2019,Auto & transportation,Shanghai,China,Asia,2015,4000000000,"Baidu Capital, Linear Venture, Tencent"
ZEPZ,5000000000,23/08/2021,2021,Fintech,London,United Kingdom,Europe,2010,655000000,"Accel, Technology Crossover Ventures, LeapFrog Investments"
Abogen,4000000000,29/11/2021,2021,Health,Suzhou,China,Asia,2019,1000000000,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners"
Greensill,4000000000,16/07/2018,2018,Fintech,London,United Kingdom,Europe,2011,2000000000,"SoftBank Group, General Atlantic"
HyalRoute,4000000000,26/05/2020,2020,Mobile & telecommunications,,Singapore,Asia,2015,263000000,Kuang-Chi
Radiology Partners,4000000000,26/02/2018,2018,Health,El Segundo,United States,North America,2012,1000000000,"New Enterprise Associates, Starr Investment Holdings"
Yello Mobile,4000000000,11/11/2014,2014,Mobile & telecommunications,Seoul,South Korea,Asia,2012,216000000,Formation 8
Turing,4000000000,20/12/2021,2021,Internet software & services,Palo Alto,United States,North America,2018,128000000,"Foundation Capital, Frontier Ventures, AltaIR Capital"
Lenskart,4000000000,20/12/2019,2019,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,776000000,"Chiratae Ventures, PremjiInvest, Softbank"
Kraken,4000000000,25/06/2019,2019,Fintech,San Francisco,United States,North America,2011,119000000,"Bnk To The Future, Trammell Ventures, SBI Investment"
Horizon Robotics,4000000000,27/02/2019,2019,Artificial intelligence,Beijing,China,Asia,2015,2000000000,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital"
MoonPay,4000000000,22/11/2021,2021,Fintech,Miami,United States,North America,2019,555000000,"New Enterprise Associates, Coatue Management, Tiger Global Management"
Celsius Network,4000000000,12/10/2021,2021,Fintech,Hoboken,United States,North America,2017,864000000,"WestCap Group, Caisse de depot et placement du Quebec"
ChargeBee Technologies,4000000000,20/04/2021,2021,Fintech,Walnut,United States,North America,2011,468000000,"Insight Partners, Tiger Global Management, Accel"
Coalition,4000000000,17/03/2021,2021,Cybersecurity,San Francisco,United States,North America,2017,505000000,"Two Sigma Ventures, Flint Capital, Commerce Ventures"
Commure,4000000000,16/09/2021,2021,Internet software & services,San Francisco,United States,North America,2017,542000000,"General Catalyst, HCA Healthcare"
Flock Safety,4000000000,13/07/2021,2021,Hardware,Atlanta,United States,North America,2017,381000000,"Matrix Partners, Initialized Capital, Tiger Global Management"
Handshake,4000000000,12/05/2021,2021,Internet software & services,San Francisco,United States,North America,2014,434000000,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures"
Highspot,4000000000,22/02/2021,2021,Internet software & services,Seattle,United States,North America,2013,643000000,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures"
Indigo Ag,4000000000,26/09/2017,2017,Artificial intelligence,Boston,United States,North America,2014,1000000000,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co."
Mirakl,4000000000,22/09/2020,2020,E-commerce & direct-to-consumer,Paris,France,Europe,2011,948000000,"Elaia Partners, 83North, Felix Capital"
